time,ask,bid
2022-03-01 21:00,1.3316,1.3316
2022-03-01 21:01,1.33182,1.33182
2022-03-01 21:02,1.33157,1.33157
2022-03-01 21:03,1.33167,1.33167
2022-03-01 21:04,1.33126,1.33126
2022-03-01 21:05,1.33131,1.33131
2022-03-01 21:06,1.33143,1.33143
2022-03-01 21:07,1.33128,1.33128
2022-03-01 21:08,1.33124,1.33124
2022-03-01 21:09,1.33117,1.33117
2022-03-01 21:10,1.33134,1.33134
2022-03-01 21:11,1.33124,1.33124
2022-03-01 21:12,1.33125,1.33125
2022-03-01 21:13,1.33117,1.33117
2022-03-01 21:14,1.33111,1.33111
2022-03-01 21:15,1.33118,1.33118
2022-03-01 21:16,1.33098,1.33098
2022-03-01 21:17,1.33113,1.33113
2022-03-01 21:18,1.33133,1.33133
2022-03-01 21:19,1.33145,1.33145
2022-03-01 21:20,1.33117,1.33117
2022-03-01 21:21,1.33128,1.33128
2022-03-01 21:22,1.33144,1.33144
2022-03-01 21:23,1.33147,1.33147
2022-03-01 21:24,1.33145,1.33145
2022-03-01 21:25,1.33138,1.33138
2022-03-01 21:26,1.3317,1.3317
2022-03-01 21:27,1.33167,1.33167
2022-03-01 21:28,1.33179,1.33179
2022-03-01 21:29,1.33201,1.33201
2022-03-01 21:30,1.33208,1.33208
2022-03-01 21:31,1.33268,1.33268
2022-03-01 21:32,1.33288,1.33288
2022-03-01 21:33,1.33283,1.33283
2022-03-01 21:34,1.33294,1.33294
2022-03-01 21:35,1.33284,1.33284
2022-03-01 21:36,1.33275,1.33275
2022-03-01 21:37,1.33269,1.33269
2022-03-01 21:38,1.33298,1.33298
2022-03-01 21:39,1.33329,1.33329
2022-03-01 21:40,1.33298,1.33298
2022-03-01 21:41,1.33291,1.33291
2022-03-01 21:42,1.33302,1.33302
2022-03-01 21:43,1.33263,1.33263
2022-03-01 21:44,1.33253,1.33253
2022-03-01 21:45,1.33225,1.33225
2022-03-01 21:46,1.33211,1.33211
2022-03-01 21:47,1.33205,1.33205
2022-03-01 21:48,1.33179,1.33179
2022-03-01 21:49,1.33166,1.33166
2022-03-01 21:50,1.33117,1.33117
2022-03-01 21:51,1.33133,1.33133
2022-03-01 21:52,1.33111,1.33111
2022-03-01 21:53,1.33105,1.33105
2022-03-01 21:54,1.33104,1.33104
2022-03-01 21:55,1.33109,1.33109
2022-03-01 21:56,1.33116,1.33116
2022-03-01 21:57,1.33129,1.33129
2022-03-01 21:58,1.33106,1.33106
2022-03-01 21:59,1.33122,1.33122
2022-03-01 22:00,1.33137,1.33137
2022-03-01 22:01,1.33166,1.33166
2022-03-01 22:02,1.33195,1.33195
2022-03-01 22:03,1.33184,1.33184
2022-03-01 22:04,1.33203,1.33203
2022-03-01 22:05,1.33225,1.33225
2022-03-01 22:06,1.33215,1.33215
2022-03-01 22:07,1.33226,1.33226
2022-03-01 22:08,1.33207,1.33207
2022-03-01 22:09,1.33211,1.33211
2022-03-01 22:10,1.33195,1.33195
2022-03-01 22:11,1.33204,1.33204
2022-03-01 22:12,1.33205,1.33205
2022-03-01 22:13,1.33216,1.33216
2022-03-01 22:14,1.33209,1.33209
2022-03-01 22:15,1.33197,1.33197
2022-03-01 22:16,1.33166,1.33166
2022-03-01 22:17,1.3315,1.3315
2022-03-01 22:18,1.33148,1.33148
2022-03-01 22:19,1.33139,1.33139
2022-03-01 22:20,1.33111,1.33111
2022-03-01 22:21,1.33098,1.33098
2022-03-01 22:22,1.33105,1.33105
2022-03-01 22:23,1.33144,1.33144
2022-03-01 22:24,1.33145,1.33145
2022-03-01 22:25,1.33136,1.33136
2022-03-01 22:26,1.33143,1.33143
2022-03-01 22:27,1.33134,1.33134
2022-03-01 22:28,1.33134,1.33134
2022-03-01 22:29,1.33126,1.33126
2022-03-01 22:30,1.33093,1.33093
2022-03-01 22:31,1.33087,1.33087
2022-03-01 22:32,1.33107,1.33107
2022-03-01 22:33,1.33093,1.33093
2022-03-01 22:34,1.331,1.331
2022-03-01 22:35,1.33082,1.33082
2022-03-01 22:36,1.33093,1.33093
2022-03-01 22:37,1.33084,1.33084
2022-03-01 22:38,1.33094,1.33094
2022-03-01 22:39,1.33098,1.33098
2022-03-01 22:40,1.33104,1.33104
2022-03-01 22:41,1.33105,1.33105
2022-03-01 22:42,1.33092,1.33092
2022-03-01 22:43,1.33072,1.33072
2022-03-01 22:44,1.33087,1.33087
2022-03-01 22:45,1.33095,1.33095
2022-03-01 22:46,1.33106,1.33106
2022-03-01 22:47,1.331,1.331
2022-03-01 22:48,1.33133,1.33133
2022-03-01 22:49,1.33117,1.33117
2022-03-01 22:50,1.33119,1.33119
2022-03-01 22:51,1.33133,1.33133
2022-03-01 22:52,1.33123,1.33123
2022-03-01 22:53,1.33133,1.33133
2022-03-01 22:54,1.33171,1.33171
2022-03-01 22:55,1.33198,1.33198
2022-03-01 22:56,1.33211,1.33211
2022-03-01 22:57,1.33218,1.33218
2022-03-01 22:58,1.33265,1.33265
2022-03-01 22:59,1.33222,1.33222
2022-03-01 23:00,1.33225,1.33225
2022-03-01 23:01,1.33253,1.33253
2022-03-01 23:02,1.33269,1.33269
2022-03-01 23:03,1.33286,1.33286
2022-03-01 23:04,1.33306,1.33306
2022-03-01 23:05,1.33285,1.33285
2022-03-01 23:06,1.33269,1.33269
2022-03-01 23:07,1.33257,1.33257
2022-03-01 23:08,1.33238,1.33238
2022-03-01 23:09,1.3322,1.3322
2022-03-01 23:10,1.33227,1.33227
2022-03-01 23:11,1.33237,1.33237
2022-03-01 23:12,1.33237,1.33237
2022-03-01 23:13,1.33229,1.33229
2022-03-01 23:14,1.33223,1.33223
2022-03-01 23:15,1.3324,1.3324
2022-03-01 23:16,1.33232,1.33232
2022-03-01 23:17,1.33247,1.33247
