time,type,size,volatility,open,high,low,close
2022-03-21 21:00,Red,0.0019099712,197.63063,1.31764,1.31776,1.31585,1.31594
2022-03-21 22:00,Green,0.000880003,197.16637,1.31594,1.31636,1.31548,1.31636
2022-03-21 23:00,Green,0.0011600256,197.36882,1.31634,1.31687,1.31571,1.3166
2022-03-22 00:00,Red,0.001709938,197.99968,1.31658,1.3173,1.31559,1.31635
2022-03-22 01:00,Green,0.0005799532,196.90446,1.31626,1.31677,1.31619,1.31669
2022-03-22 02:00,Green,0.00055992603,196.33304,1.31669,1.31686,1.3163,1.31686
2022-03-22 03:00,Red,0.0036000013,197.46399,1.31686,1.31686,1.31326,1.31371
2022-03-22 04:00,Green,0.0011599064,197.30319,1.31371,1.31484,1.31368,1.31426
2022-03-22 05:00,Green,0.001060009,197.40437,1.31427,1.31514,1.31408,1.31509
2022-03-22 06:00,Green,0.0009900331,197.53537,1.3151,1.3154,1.31441,1.31511
2022-03-22 07:00,Red,0.0026800632,198.07706,1.3151,1.31514,1.31246,1.31341
2022-03-22 08:00,Red,0.0014599562,197.4461,1.31342,1.31379,1.31233,1.31258
2022-03-22 09:00,Red,0.0011399984,196.04729,1.31258,1.31311,1.31197,1.31222
2022-03-22 10:00,Green,0.0021600723,195.20212,1.31221,1.31409,1.31193,1.31392
2022-03-22 11:00,Green,0.006309986,197.54138,1.31391,1.31935,1.31304,1.31766
2022-03-22 12:00,Green,0.0024200678,197.7022,1.31764,1.31962,1.3172,1.31846
2022-03-22 13:00,Green,0.003930092,197.93443,1.31845,1.32167,1.31774,1.32102
2022-03-22 14:00,Green,0.002120018,196.488,1.32102,1.32266,1.32054,1.32205
2022-03-22 15:00,Green,0.0028100014,196.79167,1.32206,1.3247,1.32189,1.32332
2022-03-22 16:00,Green,0.0034599304,197.30357,1.32332,1.32678,1.32332,1.32666
2022-03-22 17:00,Red,0.0026999712,197.67857,1.32667,1.32733,1.32463,1.32506
2022-03-22 18:00,Green,0.0025800467,197.20238,1.32505,1.32602,1.32344,1.32583
2022-03-22 19:00,Red,0.001240015,196.48215,1.32583,1.32587,1.32463,1.32527
2022-03-22 20:00,Red,0.0013500452,196.38103,1.32528,1.32601,1.32466,1.32508
2022-03-22 21:00,Green,0.0007100105,196.24417,1.32508,1.32571,1.325,1.32531
2022-03-22 22:00,Green,0.0016599894,196.48819,1.32532,1.32636,1.3247,1.32589
2022-03-22 23:00,Green,0.00065004826,196.17874,1.3259,1.32619,1.32554,1.32605
2022-03-23 00:00,Red,0.0011000633,196.11324,1.32606,1.32665,1.32555,1.32582
2022-03-23 01:00,Green,0.0014300346,195.82755,1.32581,1.32711,1.32568,1.32698
2022-03-23 02:00,Red,0.00083994865,195.50604,1.32696,1.32696,1.32612,1.32652
2022-03-23 03:00,Green,0.00090003014,195.01791,1.32653,1.32743,1.32653,1.32702
2022-03-23 04:00,Green,0.001150012,194.49411,1.32701,1.32805,1.3269,1.328
2022-03-23 05:00,Green,0.0019099712,194.48816,1.32801,1.32981,1.3279,1.32879
2022-03-23 06:00,Red,0.0011200905,194.88104,1.32879,1.32922,1.3281,1.32843
2022-03-23 07:00,Red,0.000880003,194.55363,1.32843,1.32861,1.32773,1.3279
2022-03-23 08:00,Green,0.0014699697,194.887,1.3279,1.32911,1.32764,1.3286
